v1
28.1
28
18.6
30.6
19.1
31.2
17.9
21.4
55.6
38.4
13.7
19.5
26.6
25.5
72.8
46
21.1
26.2
52.1
48.9
25.8
31.9
32
21
21.4
16.8
28.9
43.5
22.3
20.7
34.8
60.1
17.4
15.5
57.3
62.3
23.7
38.8
36.3
40.9
